"CONTACT_ID";"AGE";"FAMILYSIZE";"YEAREXPERIENCE";"ANNUALINCOME";"EDUCATIONLEVEL_ID";"NETPRICE_PRO11_AMT";"NETPRICE_PRO12_AMT";"NETPRICE_PRO13_AMT";"NETPRICE_PRO14_AMT";"NETPRICE_PRO15_AMT";"NETPRICE_PRO16_AMT";"NETPRICE_PRO17_AMT";"name"
689;35;1;9;55;1;0;0;0;20;0;1;0;"Kingston upon Thames"
690;60;2;34;64;3;0;0;0;17;1;0;0;"Kensington and Chelsea"
691;34;1;9;122;1;0;0;0;0;0;1;0;"Redbridge"
692;55;3;25;70;3;0;0;0;14;0;1;0;"Croydon"
693;43;2;19;81;1;0;0;0;32;0;0;0;"Westminster"
694;41;1;15;159;3;0;0;1;55;0;1;1;"Lewisham"
695;34;4;9;70;1;0;1;0;13;0;0;0;"Barking and Dagenham"
696;65;2;39;150;1;196;0;0;69;0;0;0;"Kingston upon Thames"
697;45;2;21;152;1;0;0;0;75;0;1;0;"Havering"
698;49;4;25;195;1;617;0;0;30;0;0;1;"Harrow"
699;48;1;23;22;1;0;0;0;1;0;0;0;"Islington"
700;60;1;35;22;1;123;0;0;13;0;1;0;"Newham"
701;55;3;29;79;1;0;0;0;8;1;1;0;"Enfield"
702;42;1;18;33;3;0;0;0;14;0;1;0;"Camden"
703;32;2;8;128;1;0;0;1;43,3;1;1;0;"Redbridge"
704;62;1;38;91;1;0;1;0;38;0;1;0;"Lambeth"
705;57;4;32;39;1;0;0;0;9;1;1;0;"Hackney"
706;52;1;26;121;1;167;0;0;73;0;1;0;"Islington"
707;36;1;6;21;3;0;1;0;6,7;0;1;0;"Waltham Forest"
708;34;3;9;41;1;0;0;0;23;1;0;0;"Harrow"
709;63;2;37;45;3;0;0;0;7;0;1;0;"Camden"
710;24;3;0;51;3;0;0;0;3;0;1;0;"Harrow"
711;57;1;31;165;2;0;0;0;16;0;1;1;"Greenwich"
712;40;2;16;119;2;0;0;0;42;0;1;1;"Camden"
713;27;4;2;110;3;190;0;0;18;0;1;0;"Merton"
714;65;3;39;20;2;0;0;0;7;1;0;0;"Barnet"
715;60;1;34;64;2;248;0;0;8;0;0;0;"Croydon"
716;44;3;20;101;2;82;0;0;44;0;0;1;"Bexley"
717;63;1;39;101;1;0;1;1;39;0;1;1;"Waltham Forest"
718;59;1;34;99;1;0;0;0;44;0;0;1;"Kingston upon Thames"
719;56;4;30;158;1;0;0;0;61;0;0;1;"Islington"
720;54;1;28;89;2;0;0;0;19;1;1;0;"Lewisham"
721;52;1;27;80;3;0;0;1;13;1;1;0;"Newham"
722;58;2;32;114;1;402;0;0;20;0;1;0;"Camden"
723;60;3;35;49;2;0;0;0;5;1;1;0;"Barnet"
724;28;1;4;191;1;0;0;0;63,3;0;1;0;"Lambeth"
725;54;4;30;78;2;0;0;0;10;0;1;0;"Southwark"
726;32;3;6;28;1;0;0;0;10;0;0;0;"Hillingdon"
727;59;1;33;42;2;0;0;0;8;0;1;0;"Camden"
728;63;1;38;140;1;0;0;0;25;0;0;0;"Enfield"
729;48;1;23;45;2;0;0;0;13;0;1;0;"Bexley"
730;56;2;32;122;1;360;0;1;3;1;1;0;"Kensington and Chelsea"
731;36;3;12;65;2;0;0;0;26;0;1;0;"Bexley"
732;57;1;27;68;3;0;0;0;14;0;1;0;"Southwark"
733;29;2;3;153;1;392;0;0;20;0;0;0;"Richmond upon Thames"
734;39;4;13;89;2;0;0;0;14;0;0;0;"Barnet"
735;59;1;34;91;1;0;0;0;26;1;1;0;"Camden"
736;31;4;6;55;2;185;0;0;20;0;1;0;"Islington"
737;43;2;19;118;1;0;0;0;33;1;0;0;"Tower Hamlets"
738;35;1;5;22;3;103;0;0;6,7;0;0;0;"Bexley"
739;54;3;24;63;3;138;0;0;14;1;1;0;"Merton"
740;51;4;27;12;2;78;1;0;5;0;1;0;"Bromley"
741;44;3;19;50;2;0;0;0;27;0;1;0;"Bexley"
742;25;2;0;43;3;0;1;1;16;1;1;0;"Newham"
743;40;4;15;173;1;0;0;1;66;1;1;1;"Bexley"
744;26;2;2;60;1;132;0;0;30;0;0;1;"Camden"
745;39;1;14;113;3;0;1;0;10;0;1;0;"Harrow"
746;28;4;4;155;2;0;0;0;53;0;1;1;"Hillingdon"
747;52;4;28;91;2;0;0;0;10;1;0;0;"Bexley"
748;53;4;29;55;2;0;0;0;11;0;1;0;"Bexley"
749;44;2;20;173;1;419;0;0;14;0;1;0;"Islington"
750;43;3;19;71;3;0;0;0;3;1;0;0;"Barnet"
751;56;2;30;24;3;88;0;0;4;0;0;0;"Islington"
752;38;1;14;42;2;81;0;0;20;0;1;0;"Camden"
753;30;2;6;141;1;0;0;0;43,3;0;1;0;"Islington"
754;32;1;6;32;3;0;0;0;19;0;1;0;"Harrow"
755;35;4;10;55;1;0;0;0;13;0;0;0;"Lewisham"
756;43;2;19;153;1;0;0;0;75;0;1;0;"Lewisham"
757;58;2;32;113;1;270;0;0;14;1;0;0;"Richmond upon Thames"
758;25;2;0;30;2;0;0;0;17;0;0;0;"Brent"
759;54;3;24;29;3;148;0;0;10;1;0;0;"Redbridge"
760;57;1;32;174;2;466;0;0;68;0;1;1;"Hackney"
761;50;1;24;35;3;0;0;0;3;0;1;0;"Croydon"
762;32;2;8;98;2;175;0;0;20;0;1;0;"Croydon"
763;63;2;37;30;3;159;0;0;10;0;1;0;"Redbridge"
764;31;2;6;58;1;0;0;0;25;1;0;0;"Redbridge"
765;36;4;12;25;1;147;0;0;10;0;0;0;"Brent"
766;58;4;34;19;1;0;0;0;7;0;0;0;"Kingston upon Thames"
767;56;4;30;44;2;174;0;0;7;0;1;0;"Croydon"
768;49;4;25;20;1;111;0;0;10;1;1;0;"Redbridge"
769;30;2;5;98;1;220;0;0;31;0;1;0;"Harrow"
770;33;3;7;90;1;0;0;0;16;0;1;0;"Barnet"
771;45;3;21;61;1;0;0;0;7;0;0;0;"Westminster"
772;30;4;5;40;2;0;0;0;20;0;1;0;"Kensington and Chelsea"
773;47;2;23;38;3;0;0;0;21;0;0;0;"Barnet"
774;25;2;0;28;2;0;0;0;17;0;0;0;"Harrow"
775;63;1;33;34;3;0;0;0;15;1;1;0;"Kensington and Chelsea"
776;55;2;29;73;3;0;0;0;23;1;1;0;"Hillingdon"
777;65;4;41;133;1;0;0;0;20;1;0;1;"Merton"
778;44;1;18;53;1;0;0;0;2;0;1;0;"Brent"
779;51;4;25;21;3;0;0;0;6;1;1;0;"Brent"
780;35;3;9;40;1;0;0;0;9;0;1;0;"Lewisham"
781;30;4;5;41;2;0;0;0;17;0;1;0;"Hillingdon"
782;31;4;5;82;2;0;0;0;18;0;1;0;"Bexley"
783;54;4;30;100;3;0;0;0;34;0;0;1;"Barking and Dagenham"
784;45;1;20;155;1;0;0;0;70;1;1;0;"Merton"
785;45;1;19;45;1;0;0;0;2;0;1;0;"Bexley"
786;58;3;32;9;3;0;0;0;3;1;0;0;"Camden"
787;54;4;29;48;3;0;0;0;18;0;1;0;"Enfield"
788;53;4;28;18;3;109;1;1;1;1;1;0;"Redbridge"
789;33;4;9;80;1;0;0;0;34;1;1;0;"Kingston upon Thames"
790;60;2;35;64;1;0;0;0;28;0;0;0;"Hillingdon"
791;50;4;24;29;1;0;0;0;1;0;0;0;"Harrow"
792;26;3;2;48;2;0;0;0;7;0;1;0;"Harrow"
793;54;2;30;23;1;0;0;0;4;0;0;0;"Islington"
