"id_gym";"type_gym";"name"
8749;"Social Gym";"Wandsworth"
21765;"Martial Arts Gym";"Croydon"
20215;"Social Gym";"Islington"
22043;"Martial Arts Gym";"Redbridge"
20653;"Martial Arts Gym";"Ealing"
8185;"Health Clubs";"Redbridge"
15627;"Social Gym";"Merton"
928;"Gym with Swimming Pool";"Croydon"
1032;"Outdoors Installations Gym";"Westminster"
21583;"Other types";"Merton"
16648;"Fitness Centers";"Wandsworth"
7353;"Martial Arts Gym";"Southwark"
12125;"Martial Arts Gym";"Redbridge"
15414;"Other types";"Greenwich"
5310;"Gym with Swimming Pool";"Lambeth"
711;"Health Clubs";"Hounslow"
21437;"Gym with Swimming Pool";"NULL"
9974;"Outdoors Installations Gym";"Westminster"
16565;"Martial Arts Gym";"Hounslow"
16793;"Martial Arts Gym";"Croydon"
13479;"Gym with Swimming Pool";"Bexley"
15947;"Martial Arts Gym";"Camden"
4577;"Gym with Swimming Pool";"Bexley"
3329;"Other types";"Lambeth"
8623;"Martial Arts Gym";"Richmond upon Thames"
15621;"Other types";"Merton"
2080;"Other types";"Hammersmith and Fulham"
6354;"Martial Arts Gym";"Southwark"
21519;"Health Clubs";"Hounslow"
18753;"Smaller Gym";"Haringey"
13566;"Social Gym";"Richmond upon Thames"
23676;"Health Clubs";"Enfield"
20622;"Other types";"Wandsworth"
12911;"Health Clubs";"Kensington and Chelsea"
18732;"Martial Arts Gym";"Enfield"
10726;"Martial Arts Gym";"Wandsworth"
740;"Health Clubs";"Kingston upon Thames"
47;"Martial Arts Gym";"Westminster"
22864;"Outdoors Installations Gym";"Camden"
867;"Martial Arts Gym";"Enfield"
13636;"Other types";"Merton"
22806;"Dance Gym";"Kensington and Chelsea"
8245;"Other types";"Newham"
12268;"Fitness Centers";"Lambeth"
12905;"Martial Arts Gym";"Kensington and Chelsea"
13298;"Dance Gym";"Islington"
4088;"Gym with Swimming Pool";"Hammersmith and Fulham"
15589;"Martial Arts Gym";"Kingston upon Thames"
22005;"Gym with Swimming Pool";"Waltham Forest"
13000;"Other types";"Hammersmith and Fulham"
7380;"Dance Gym";"Islington"
23129;"Health Clubs";"Lambeth"
4857;"Martial Arts Gym";"Enfield"
11520;"Dance Gym";"NULL"
20037;"Social Gym";"Redbridge"
4627;"Other types";"Barnet"
16140;"Dance Gym";"Newham"
18746;"Other types";"Haringey"
17782;"Fitness Centers";"Croydon"
17396;"Dance Gym";"Greenwich"
16990;"Gym with Swimming Pool";"Hackney"
2375;"Gym with Swimming Pool";"Southwark"
5400;"Outdoors Installations Gym";"Lewisham"
13574;"Other types";"Richmond upon Thames"
1958;"Fitness Centers";"Sutton"
2768;"Smaller Gym";"Merton"
513;"Martial Arts Gym";"Harrow"
17376;"Other types";"Brent"
22787;"Fitness Centers";"Kensington and Chelsea"
18033;"Outdoors Installations Gym";"Waltham Forest"
16050;"Gym with Swimming Pool";"Waltham Forest"
11053;"Gym with Swimming Pool";"Hackney"
5340;"Other types";"Southwark"
9718;"Martial Arts Gym";"Wandsworth"
20436;"Smaller Gym";"NULL"
20097;"Other types";"Newham"
14576;"Gym with Swimming Pool";"Hounslow"
7443;"Social Gym";"Bromley"
13074;"Other types";"Tower Hamlets"
2520;"Martial Arts Gym";"Brent"
23621;"Dance Gym";"Hillingdon"
10401;"Health Clubs";"Bromley"
18809;"Social Gym";"Sutton"
15637;"Martial Arts Gym";"Merton"
15492;"Other types";"Barnet"
18615;"Other types";"Merton"
13170;"Martial Arts Gym";"Newham"
13205;"Dance Gym";"Barking and Dagenham"
23214;"Gym with Swimming Pool";"Islington"
9450;"Smaller Gym";"Harrow"
19345;"Dance Gym";"Harrow"
15185;"Fitness Centers";"Barking and Dagenham"
20985;"Martial Arts Gym";"Tower Hamlets"
1197;"Fitness Centers";"Waltham Forest"
9853;"Health Clubs";"Haringey"
18607;"Martial Arts Gym";"Merton"
20114;"Dance Gym";"Newham"
6475;"Health Clubs";"Harrow"
20425;"Martial Arts Gym";"NULL"
22766;"Other types";"Sutton"
3129;"Gym with Swimming Pool";"Hackney"
6903;"Martial Arts Gym";"Croydon"
4967;"Gym with Swimming Pool";"Kensington and Chelsea"
49;"Smaller Gym";"Westminster"
21151;"Outdoors Installations Gym";"Lambeth"
5271;"Smaller Gym";"Barking and Dagenham"
4707;"Gym with Swimming Pool";"Kingston upon Thames"
1701;"Martial Arts Gym";"Hounslow"
2563;"Smaller Gym";"Greenwich"
9182;"Other types";"Havering"
45;"Martial Arts Gym";"Westminster"
11268;"Martial Arts Gym";"Lambeth"
16475;"Other types";"NULL"
9353;"Martial Arts Gym";"Islington"
5662;"Social Gym";"Hounslow"
1924;"Martial Arts Gym";"Croydon"
20723;"Outdoors Installations Gym";"Haringey"
19604;"Fitness Centers";"Merton"
9300;"Social Gym";"Lambeth"
7235;"Smaller Gym";"Newham"
4606;"Other types";"Barnet"
22396;"Outdoors Installations Gym";"Bexley"
16024;"Health Clubs";"Tower Hamlets"
21878;"Martial Arts Gym";"Camden"
5222;"Martial Arts Gym";"Havering"
2496;"Outdoors Installations Gym";"Harrow"
13224;"Martial Arts Gym";"Barking and Dagenham"
15483;"Fitness Centers";"NULL"
18344;"Other types";"Harrow"
8201;"Health Clubs";"Havering"
13910;"Other types";"Westminster"
15160;"Other types";"Newham"
21533;"Fitness Centers";"Kingston upon Thames"
3695;"Other types";"Hounslow"
5813;"Martial Arts Gym";"Hillingdon"
9176;"Dance Gym";"Redbridge"
19836;"Fitness Centers";"Kensington and Chelsea"
1211;"Martial Arts Gym";"Redbridge"
2164;"Health Clubs";"Tower Hamlets"
12734;"Other types";"Ealing"
6822;"Health Clubs";"Hillingdon"
14621;"Fitness Centers";"Kingston upon Thames"
14154;"Outdoors Installations Gym";"Newham"
16897;"Health Clubs";"Westminster"
9215;"Dance Gym";"Newham"
12336;"Fitness Centers";"Lewisham"
5360;"Gym with Swimming Pool";"Southwark"
3451;"Other types";"Bromley"
21616;"Martial Arts Gym";"Wandsworth"
7060;"Martial Arts Gym";"Hammersmith and Fulham"
5045;"Dance Gym";"Camden"
7439;"Health Clubs";"Bromley"
843;"Martial Arts Gym";"Hillingdon"
19174;"Outdoors Installations Gym";"Lambeth"
18555;"Other types";"Kingston upon Thames"
15205;"Social Gym";"Lambeth"
8069;"Social Gym";"Hammersmith and Fulham"
20047;"Other types";"Redbridge"
114;"Martial Arts Gym";"Hammersmith and Fulham"
16180;"Martial Arts Gym";"Barking and Dagenham"
634;"Martial Arts Gym";"Barnet"
17630;"Gym with Swimming Pool";"Wandsworth"
5917;"Martial Arts Gym";"Croydon"
2193;"Health Clubs";"Waltham Forest"
7863;"Other types";"Haringey"
21350;"Gym with Swimming Pool";"Brent"
22165;"Health Clubs";"Lambeth"
13345;"Other types";"Lewisham"
19731;"Martial Arts Gym";"Haringey"
3277;"Fitness Centers";"Newham"
22963;"Martial Arts Gym";"Tower Hamlets"
22440;"Social Gym";"Barnet"
4214;"Outdoors Installations Gym";"Redbridge"
13265;"Fitness Centers";"Southwark"
6010;"Other types";"Westminster"
18947;"Martial Arts Gym";"Hammersmith and Fulham"
3028;"Outdoors Installations Gym";"Westminster"
12858;"Health Clubs";"Croydon"
12622;"Health Clubs";"Kingston upon Thames"
17913;"Gym with Swimming Pool";"Camden"
19093;"Smaller Gym";"Havering"
7921;"Other types";"Sutton"
1395;"Martial Arts Gym";"Islington"
3553;"Martial Arts Gym";"Greenwich"
11461;"Martial Arts Gym";"Brent"
9748;"Health Clubs";"Ealing"
16260;"Martial Arts Gym";"Islington"
18331;"Outdoors Installations Gym";"Harrow"
822;"Gym with Swimming Pool";"Ealing"
2755;"Other types";"Merton"
17089;"Smaller Gym";"Redbridge"
22632;"Social Gym";"Ealing"
18028;"Health Clubs";"Waltham Forest"
19580;"Martial Arts Gym";"Merton"
15401;"Dance Gym";"Brent"
6523;"Smaller Gym";"Greenwich"
1316;"Fitness Centers";"Barking and Dagenham"
19716;"Martial Arts Gym";"Enfield"
10895;"Health Clubs";"Sutton"
10679;"Other types";"Merton"
18778;"Martial Arts Gym";"Croydon"
17967;"Health Clubs";"Hackney"
939;"Other types";"Croydon"
6103;"Gym with Swimming Pool";"Hackney"
971;"Martial Arts Gym";"Sutton"
13133;"Dance Gym";"Redbridge"
5583;"Health Clubs";"NULL"
1906;"Social Gym";"Haringey"
21264;"Gym with Swimming Pool";"Lewisham"
2462;"Martial Arts Gym";"Bromley"
6092;"Martial Arts Gym";"Hackney"
2658;"Martial Arts Gym";"Richmond upon Thames"
1554;"Dance Gym";"Greenwich"
18949;"Fitness Centers";"Hammersmith and Fulham"
5733;"Other types";"Merton"
16511;"Social Gym";"Barnet"
13982;"Martial Arts Gym";"Hammersmith and Fulham"
11097;"Smaller Gym";"Waltham Forest"
16489;"Other types";"Barnet"
8056;"Martial Arts Gym";"Hammersmith and Fulham"
5334;"Health Clubs";"Southwark"
4208;"Health Clubs";"Redbridge"
15323;"Martial Arts Gym";"Lewisham"
3092;"Martial Arts Gym";"Hammersmith and Fulham"
5730;"Other types";"Merton"
3815;"Gym with Swimming Pool";"Ealing"
19407;"Health Clubs";"Greenwich"
18332;"Smaller Gym";"Harrow"
16625;"Other types";"Merton"
20279;"Martial Arts Gym";"Bromley"
21606;"Health Clubs";"Wandsworth"
22849;"Gym with Swimming Pool";"Camden"
18375;"Health Clubs";"Brent"
8396;"Outdoors Installations Gym";"Lewisham"
17869;"Martial Arts Gym";"Westminster"
13142;"Other types";"Havering"
1956;"Martial Arts Gym";"Sutton"
18559;"Other types";"Kingston upon Thames"
20095;"Other types";"Newham"
17510;"Martial Arts Gym";"Richmond upon Thames"
1930;"Health Clubs";"Croydon"
21990;"Smaller Gym";"Waltham Forest"
19952;"Health Clubs";"Hackney"
4590;"Other types";"NULL"
14258;"Other types";"Southwark"
9213;"Other types";"Newham"
1094;"Other types";"Hammersmith and Fulham"
4693;"Other types";"Hounslow"
11429;"Martial Arts Gym";"Harrow"
20930;"Martial Arts Gym";"Hammersmith and Fulham"
23691;"Fitness Centers";"Haringey"
11357;"Social Gym";"Lewisham"
5809;"Smaller Gym";"Ealing"
298;"Other types";"Newham"
9001;"Health Clubs";"Camden"
13941;"Martial Arts Gym";"Camden"
920;"Fitness Centers";"Haringey"
19560;"Health Clubs";"Kingston upon Thames"
6439;"Health Clubs";"Bromley"
22934;"Health Clubs";"Hackney"
2189;"Health Clubs";"Waltham Forest"
9219;"Other types";"Newham"
15676;"Other types";"Ealing"
11242;"Dance Gym";"Barking and Dagenham"
13226;"Fitness Centers";"Barking and Dagenham"
3494;"Health Clubs";"Harrow"
9872;"Other types";"Croydon"
14900;"Outdoors Installations Gym";"Westminster"
13834;"Health Clubs";"Croydon"
13679;"Other types";"Wandsworth"
2862;"Other types";"Enfield"
21274;"Other types";"Bromley"
376;"Gym with Swimming Pool";"Southwark"
11015;"Dance Gym";"Hammersmith and Fulham"
934;"Social Gym";"Croydon"
12196;"Other types";"Newham"
23339;"Martial Arts Gym";"Greenwich"
18688;"Martial Arts Gym";"Hillingdon"
21105;"Outdoors Installations Gym";"Newham"
22739;"Martial Arts Gym";"Croydon"
7697;"Martial Arts Gym";"Kingston upon Thames"
14372;"Social Gym";"Harrow"
10477;"Health Clubs";"Greenwich"
367;"Other types";"Lambeth"
2328;"Martial Arts Gym";"Lambeth"
13575;"Other types";"Richmond upon Thames"
22184;"Dance Gym";"Southwark"
15607;"Social Gym";"Kingston upon Thames"
14879;"Gym with Swimming Pool";"Kensington and Chelsea"
12291;"Health Clubs";"Southwark"
20650;"Martial Arts Gym";"Ealing"
18373;"Other types";"Brent"
8434;"Health Clubs";"Bromley"
23006;"Health Clubs";"Redbridge"
17513;"Dance Gym";"Richmond upon Thames"
19550;"Martial Arts Gym";"Kingston upon Thames"
20264;"Martial Arts Gym";"Lewisham"
4050;"Martial Arts Gym";"Camden"
23184;"Fitness Centers";"Southwark"
7000;"Social Gym";"Westminster"
6106;"Health Clubs";"Hackney"
20538;"Martial Arts Gym";"Kingston upon Thames"
21280;"Martial Arts Gym";"Bromley"
8373;"Martial Arts Gym";"Islington"
4584;"Martial Arts Gym";"NULL"
12740;"Smaller Gym";"Ealing"
10345;"Martial Arts Gym";"Islington"
2624;"Dance Gym";"Barnet"
21493;"Martial Arts Gym";"Richmond upon Thames"
16634;"Outdoors Installations Gym";"Wandsworth"
1608;"Outdoors Installations Gym";"NULL"
16590;"Health Clubs";"Kingston upon Thames"
2646;"Fitness Centers";"Richmond upon Thames"
14581;"Martial Arts Gym";"Hounslow"
17861;"Health Clubs";"Kensington and Chelsea"
6433;"Dance Gym";"Bromley"
8925;"Other types";"Sutton"
1938;"Social Gym";"Croydon"
23441;"Smaller Gym";"Barnet"
11584;"Social Gym";"Richmond upon Thames"
18473;"Other types";"Barnet"
22264;"Martial Arts Gym";"Bromley"
14169;"Other types";"Newham"
16188;"Outdoors Installations Gym";"Barking and Dagenham"
17512;"Gym with Swimming Pool";"Richmond upon Thames"
6128;"Health Clubs";"Tower Hamlets"
3738;"Smaller Gym";"Merton"
2793;"Martial Arts Gym";"Wandsworth"
12422;"Martial Arts Gym";"Harrow"
7488;"Fitness Centers";"Brent"
12200;"Fitness Centers";"Newham"
1532;"Outdoors Installations Gym";"Brent"
4431;"Martial Arts Gym";"Bromley"
12201;"Other types";"Newham"
11035;"Smaller Gym";"Hackney"
8023;"Health Clubs";"Camden"
14874;"Other types";"Kensington and Chelsea"
43;"Martial Arts Gym";"Westminster"
21977;"Dance Gym";"Tower Hamlets"
8555;"Other types";"Bexley"
4333;"Gym with Swimming Pool";"Lambeth"
19773;"Outdoors Installations Gym";"Croydon"
6007;"Health Clubs";"Westminster"
13497;"Martial Arts Gym";"Bexley"
23056;"Martial Arts Gym";"Havering"
7748;"Gym with Swimming Pool";"Wandsworth"
16033;"Dance Gym";"Tower Hamlets"
12974;"Martial Arts Gym";"Camden"
18817;"Martial Arts Gym";"Sutton"
8835;"Smaller Gym";"Enfield"
21418;"Fitness Centers";"Bexley"
13839;"Gym with Swimming Pool";"Croydon"
17953;"Martial Arts Gym";"Hammersmith and Fulham"
11311;"Martial Arts Gym";"Islington"
2479;"Social Gym";"Harrow"
22349;"Other types";"Greenwich"
12240;"Health Clubs";"Lambeth"
14945;"Martial Arts Gym";"Camden"
6905;"Other types";"Croydon"
18813;"Gym with Swimming Pool";"Sutton"
21379;"Health Clubs";"Greenwich"
12822;"Other types";"Haringey"
15173;"Health Clubs";"Barking and Dagenham"
11028;"Gym with Swimming Pool";"Hammersmith and Fulham"
23572;"Social Gym";"Wandsworth"
3482;"Dance Gym";"Harrow"
9123;"Other types";"Waltham Forest"
5647;"Martial Arts Gym";"Richmond upon Thames"
7978;"Health Clubs";"Westminster"
17379;"Dance Gym";"Brent"
19738;"Martial Arts Gym";"Haringey"
11702;"Other types";"Wandsworth"
7028;"Fitness Centers";"Camden"
2202;"Martial Arts Gym";"Redbridge"
102;"Gym with Swimming Pool";"Hammersmith and Fulham"
6895;"Other types";"Haringey"
15523;"Gym with Swimming Pool";"Richmond upon Thames"
8832;"Outdoors Installations Gym";"Enfield"
21332;"Martial Arts Gym";"Brent"
146;"Outdoors Installations Gym";"Hackney"
12078;"Health Clubs";"Tower Hamlets"
23740;"Health Clubs";"Croydon"
14285;"Martial Arts Gym";"Islington"
20185;"Fitness Centers";"Southwark"
18627;"Other types";"Wandsworth"
3927;"Martial Arts Gym";"Croydon"
10163;"Gym with Swimming Pool";"Redbridge"
22734;"Health Clubs";"Croydon"
5615;"Health Clubs";"Barnet"
16457;"Fitness Centers";"Bexley"
23354;"Other types";"Greenwich"
8751;"Smaller Gym";"Wandsworth"
2354;"Outdoors Installations Gym";"Southwark"
2310;"Fitness Centers";"Barking and Dagenham"
16477;"Martial Arts Gym";"NULL"
5507;"Fitness Centers";"Brent"
2127;"Martial Arts Gym";"Hackney"
1932;"Health Clubs";"Croydon"
5284;"Fitness Centers";"Barking and Dagenham"
3596;"Health Clubs";"NULL"
17582;"Other types";"Kingston upon Thames"
12924;"Other types";"Westminster"
7579;"Martial Arts Gym";"NULL"
22945;"Dance Gym";"Tower Hamlets"
17575;"Fitness Centers";"Kingston upon Thames"
16432;"Other types";"Greenwich"
15158;"Martial Arts Gym";"Newham"
219;"Smaller Gym";"Redbridge"
858;"Social Gym";"Hillingdon"
13778;"Health Clubs";"Enfield"
18936;"Martial Arts Gym";"Hammersmith and Fulham"
16667;"Martial Arts Gym";"Ealing"
16652;"Martial Arts Gym";"Wandsworth"
4722;"Other types";"Kingston upon Thames"
22392;"Dance Gym";"Bexley"
21843;"Martial Arts Gym";"Westminster"
8140;"Martial Arts Gym";"Waltham Forest"
1799;"Other types";"Ealing"
3941;"Dance Gym";"Croydon"
303;"Martial Arts Gym";"Newham"
5896;"Dance Gym";"Haringey"
12847;"Gym with Swimming Pool";"Croydon"
10126;"Other types";"Waltham Forest"
5995;"Smaller Gym";"Westminster"
19746;"Martial Arts Gym";"Haringey"
8380;"Gym with Swimming Pool";"Lewisham"
14656;"Dance Gym";"Merton"
7641;"Martial Arts Gym";"Richmond upon Thames"
17661;"Martial Arts Gym";"Ealing"
1185;"Social Gym";"Waltham Forest"
8342;"Outdoors Installations Gym";"Southwark"
17431;"Health Clubs";"Bexley"
3366;"Outdoors Installations Gym";"Southwark"
884;"Other types";"Enfield"
21962;"Health Clubs";"Tower Hamlets"
8224;"Martial Arts Gym";"Havering"
8601;"Health Clubs";"Barnet"
21726;"Health Clubs";"Haringey"
23101;"Martial Arts Gym";"Barking and Dagenham"
9764;"Gym with Swimming Pool";"Ealing"
9084;"Fitness Centers";"Hackney"
7299;"Other types";"Lambeth"
12266;"Gym with Swimming Pool";"Lambeth"
1964;"Dance Gym";"Sutton"
5892;"Martial Arts Gym";"Haringey"
6827;"Other types";"Hillingdon"
5539;"Gym with Swimming Pool";"Greenwich"
9059;"Fitness Centers";"Hackney"
11376;"Martial Arts Gym";"Bromley"
20649;"Other types";"Ealing"
5852;"Dance Gym";"Enfield"
3565;"Health Clubs";"Bexley"
9426;"Martial Arts Gym";"Harrow"
20987;"Gym with Swimming Pool";"Tower Hamlets"
12301;"Smaller Gym";"Islington"
19950;"Other types";"Hackney"
2770;"Health Clubs";"Wandsworth"
20792;"Health Clubs";"Sutton"
2309;"Other types";"Barking and Dagenham"
10803;"Other types";"Enfield"
6481;"Martial Arts Gym";"Harrow"
20313;"Smaller Gym";"Harrow"
23396;"Gym with Swimming Pool";"Bexley"
9477;"Dance Gym";"Brent"
21507;"Other types";"Hounslow"
3961;"Other types";"Sutton"
1802;"Outdoors Installations Gym";"Ealing"
20107;"Martial Arts Gym";"Newham"
23161;"Health Clubs";"Southwark"
14029;"Martial Arts Gym";"Hackney"
4959;"Other types";"Sutton"
22903;"Social Gym";"Hammersmith and Fulham"
17324;"Fitness Centers";"Bromley"
8368;"Other types";"Islington"
4064;"Other types";"Camden"
18037;"Martial Arts Gym";"Waltham Forest"
15752;"Other types";"Enfield"
12609;"Health Clubs";"Hounslow"
6766;"Gym with Swimming Pool";"Wandsworth"
20396;"Social Gym";"Bexley"
17148;"Gym with Swimming Pool";"Newham"
3986;"Social Gym";"Kensington and Chelsea"
11558;"Other types";"Barnet"
16520;"Other types";"Richmond upon Thames"
560;"Martial Arts Gym";"Greenwich"
12161;"Dance Gym";"Havering"
4233;"Martial Arts Gym";"Havering"
13183;"Martial Arts Gym";"Newham"
22920;"Social Gym";"Hackney"
17619;"Gym with Swimming Pool";"Merton"
5895;"Martial Arts Gym";"Haringey"
17341;"Martial Arts Gym";"Harrow"
17342;"Outdoors Installations Gym";"Harrow"
20393;"Martial Arts Gym";"Bexley"
1068;"Health Clubs";"Camden"
5943;"Health Clubs";"Sutton"
4118;"Martial Arts Gym";"Hackney"
16506;"Health Clubs";"Barnet"
11833;"Fitness Centers";"Haringey"
19702;"Social Gym";"Enfield"
2590;"Gym with Swimming Pool";"Bexley"
23368;"Health Clubs";"Bexley"
1648;"Martial Arts Gym";"Barnet"
21715;"Martial Arts Gym";"Haringey"
20250;"Fitness Centers";"Lewisham"
3390;"Other types";"Islington"
919;"Martial Arts Gym";"Haringey"
9480;"Martial Arts Gym";"Brent"
5846;"Social Gym";"Enfield"
2651;"Other types";"Richmond upon Thames"
14049;"Other types";"Tower Hamlets"
17453;"Social Gym";"Bexley"
4886;"Other types";"Haringey"
1481;"Gym with Swimming Pool";"Harrow"
19278;"Smaller Gym";"Lewisham"
5680;"Smaller Gym";"Hounslow"
10984;"Martial Arts Gym";"Camden"
18556;"Dance Gym";"Kingston upon Thames"
21337;"Martial Arts Gym";"Brent"
2338;"Dance Gym";"Lambeth"
18401;"Other types";"Greenwich"
10742;"Gym with Swimming Pool";"Ealing"
12517;"Martial Arts Gym";"NULL"
20647;"Martial Arts Gym";"Ealing"
3220;"Gym with Swimming Pool";"Redbridge"
15320;"Health Clubs";"Lewisham"
11198;"Martial Arts Gym";"Newham"
17760;"Other types";"Haringey"
1805;"Other types";"Ealing"
6172;"Other types";"Waltham Forest"
20785;"Other types";"Sutton"
17898;"Martial Arts Gym";"Camden"
2837;"Outdoors Installations Gym";"Hillingdon"
4698;"Other types";"Kingston upon Thames"
20797;"Gym with Swimming Pool";"Sutton"
13606;"Martial Arts Gym";"Hounslow"
11930;"Martial Arts Gym";"Kensington and Chelsea"
9775;"Martial Arts Gym";"Hillingdon"
7055;"Gym with Swimming Pool";"Hammersmith and Fulham"
12759;"Social Gym";"Hillingdon"
11204;"Other types";"Newham"
2241;"Social Gym";"Havering"
4420;"Gym with Swimming Pool";"Lewisham"
12632;"Smaller Gym";"Kingston upon Thames"
22706;"Fitness Centers";"Haringey"
5426;"Gym with Swimming Pool";"Bromley"
22570;"Other types";"Merton"
17735;"Martial Arts Gym";"Enfield"
9886;"Other types";"Croydon"
11483;"Social Gym";"Greenwich"
20560;"Health Clubs";"Kingston upon Thames"
7756;"Other types";"Wandsworth"
17247;"Dance Gym";"Islington"
12454;"Martial Arts Gym";"Greenwich"
4270;"Other types";"Newham"
4187;"Martial Arts Gym";"Redbridge"
13047;"Other types";"Tower Hamlets"
7891;"Social Gym";"Croydon"
5728;"Health Clubs";"Merton"
2827;"Health Clubs";"Ealing"
19843;"Other types";"Kensington and Chelsea"
2192;"Smaller Gym";"Waltham Forest"
12045;"Gym with Swimming Pool";"Hackney"
15453;"Martial Arts Gym";"Bexley"
8661;"Social Gym";"Hounslow"
14943;"Smaller Gym";"Camden"
9759;"Martial Arts Gym";"Ealing"
10827;"Martial Arts Gym";"Haringey"
8922;"Smaller Gym";"Sutton"
7484;"Smaller Gym";"Brent"
493;"Health Clubs";"Harrow"
1925;"Dance Gym";"Croydon"
19492;"Other types";"Richmond upon Thames"
1748;"Health Clubs";"Merton"
8592;"Martial Arts Gym";"Barnet"
9664;"Outdoors Installations Gym";"Kingston upon Thames"
20070;"Other types";"Havering"
406;"Smaller Gym";"Islington"
15643;"Fitness Centers";"Wandsworth"
4642;"Other types";"Richmond upon Thames"
6444;"Gym with Swimming Pool";"Bromley"
21108;"Martial Arts Gym";"Newham"
4589;"Other types";"NULL"
18576;"Smaller Gym";"Kingston upon Thames"
13323;"Other types";"Lewisham"
16741;"Outdoors Installations Gym";"Enfield"
528;"Other types";"Brent"
9553;"Other types";"NULL"
7323;"Health Clubs";"Southwark"
20634;"Social Gym";"Ealing"
9096;"Outdoors Installations Gym";"Tower Hamlets"
10739;"Health Clubs";"Ealing"
2327;"Fitness Centers";"Lambeth"
4182;"Martial Arts Gym";"Waltham Forest"
4928;"Gym with Swimming Pool";"Croydon"
4518;"Martial Arts Gym";"Brent"
20484;"Gym with Swimming Pool";"Richmond upon Thames"
14276;"Martial Arts Gym";"Islington"
19282;"Martial Arts Gym";"Lewisham"
22056;"Outdoors Installations Gym";"Havering"
23678;"Other types";"Enfield"
10930;"Other types";"Kensington and Chelsea"
14247;"Smaller Gym";"Southwark"
10975;"Health Clubs";"Camden"
14530;"Dance Gym";"Barnet"
19122;"Outdoors Installations Gym";"Newham"
12954;"Martial Arts Gym";"Camden"
10072;"Martial Arts Gym";"Hackney"
18447;"Dance Gym";"NULL"
22204;"Other types";"Islington"
9032;"Other types";"Hammersmith and Fulham"
19968;"Smaller Gym";"Hackney"
22502;"Social Gym";"Hounslow"
13284;"Martial Arts Gym";"Southwark"
15795;"Martial Arts Gym";"Croydon"
16860;"Other types";"Kensington and Chelsea"
17529;"Martial Arts Gym";"Richmond upon Thames"
22652;"Health Clubs";"Hillingdon"
20265;"Outdoors Installations Gym";"Lewisham"
15103;"Other types";"Redbridge"
10625;"Martial Arts Gym";"Hounslow"
13994;"Outdoors Installations Gym";"Hammersmith and Fulham"
14048;"Health Clubs";"Tower Hamlets"
2317;"Health Clubs";"Barking and Dagenham"
5784;"Fitness Centers";"Ealing"
2828;"Health Clubs";"Ealing"
23432;"Other types";"Barnet"
19694;"Dance Gym";"Hillingdon"
9140;"Health Clubs";"Waltham Forest"
11952;"Other types";"Westminster"
12405;"Martial Arts Gym";"Harrow"
19219;"Other types";"Southwark"
5497;"Dance Gym";"Brent"
745;"Martial Arts Gym";"Merton"
7783;"Outdoors Installations Gym";"Ealing"
401;"Martial Arts Gym";"Islington"
1081;"Other types";"Hammersmith and Fulham"
6361;"Martial Arts Gym";"Southwark"
15079;"Outdoors Installations Gym";"Waltham Forest"
14347;"Other types";"Bromley"
18342;"Fitness Centers";"Harrow"
21269;"Other types";"Bromley"
2334;"Smaller Gym";"Lambeth"
21702;"Martial Arts Gym";"Enfield"
5740;"Other types";"Merton"
13196;"Dance Gym";"Newham"
14557;"Fitness Centers";"Richmond upon Thames"
